airbnb_property_id,rating,bathrooms,title,occ,bedrooms,accommodates,adr,revenue,reviews,homeaway_property_id,longitude,latitude,m_homeaway_property_id,property_type,id,room_type,platforms__airbnb_property_id,platforms__homeaway_property_id,listings_returned,area_info__geom__|,area_info__geom__|__country,area_info__geom__|__state,area_info__geom__|__city
17736261,9.2,1,"Self Entrance 2 BR, White Rock Beach/US Border NEW",0.771429,2,6,97.2863,18387.1,102,null,-122.74459,49.00528,1175014vb,House,6408164,Entire home/apt,17736261,1175014vb,,,,,
19552736,9.5,1.5,Comfort of Home,0.578652,2,5,148.024,15246.4,22,null,-122.80976,49.13904,null,Guest suite,6646542,Entire home/apt,19552736,null,,,,,
30915066,9.6,1,Brand New Studio with Magnificent Mountains View,0.609756,0,2,46.9888,2349.44,11,null,-122.73117,49.18438,null,Guest suite,11809676,Entire home/apt,30915066,null,,,,,
26851999,10,1,"Beautiful, Clean, Private Suite near Vancouver",0.9375,1,4,196.528,2947.92,4,null,-122.71694,49.12951,null,Guest suite,10497752,Entire home/apt,26851999,null,,,,,
14087222,9.5,2.5,"Clean, quiet, spacious home close to US border",0.619433,3,6,299.84,45875.4,42,null,-122.74358,49.00638,null,House,3918014,Entire home/apt,14087222,null,,,,,
13158392,9.5,1,"2 BR suite, independent & private",0.655949,2,4,106.771,21781.2,75,null,-122.69784,49.12981,4978731,Guest suite,3695506,Entire home/apt,13158392,4978731,,,,,
13546303,9.1,1,Beautiful Private Enrty Ground Level Suite,0.533808,1,4,84.6949,12704.2,23,null,-122.72396,49.11954,4710388,House,7025982,Entire home/apt,13546303,4710388,,,,,
29677356,8.9,2.5,Surrey Center Cozy Townhome,0.632653,2,6,137.59,12795.9,11,null,-122.85645,49.18805,null,Apartment,11444978,Entire home/apt,29677356,null,,,,,
29156928,10,2,2 br/ba Condo in the heart of beautiful Ocean Park,0.390411,2,4,153.38,8742.67,1,null,-122.8638,49.03204,null,Condominium,11235241,Entire home/apt,29156928,null,,,,,
26965435,9.9,1,Romantic and Welcoming Spa-Inspired Guest Suite with Sunroom,0.89272,1,2,110.455,25736,38,null,-122.80191,49.12356,null,Guest suite,10528302,Entire home/apt,26965435,null,,,,,
19907623,8.8,1,Quaint 1 bedroom basement. Read description!,0.814035,1,3,67.7102,15708.8,27,null,-122.8676,49.19473,null,House,6783935,Entire home/apt,19907623,null,,,,,
